爱情	愛情	ai4qing2	àiqíng	(romantic) love	他们的爱情非常甜蜜。
普遍	普遍	pu3bian4	pǔbiàn	common; universal; general; widespread	这种观点在中国是普遍的。
普通话	普通話	pu3tong1hua4	pǔtōnghuà	Mandarin (common language)	我会说普通话。
其次	其次	qi2ci4	qícì	next; secondly	我们先去逛街，其次再去吃饭。
其中	其中	qi2zhong1	qízhōng	among; in; included among these	其中一个是我的朋友。
气候	氣候	qi4hou4	qìhòu	climate; atmosphere; weather	这个城市的气候很宜人。
千万	千萬	qian1wan4	qiānwàn	ten million; be sure to; must	千万不要忘记带护照。
签证	簽證	qian1zheng4	qiānzhèng	visa	我需要办签证去中国旅游。
敲	敲	qiao1	qiāo	knock; blackmail	他敲了我的门，让我开门。
桥	橋	qiao2	qiáo	bridge	我们去桥上散步吧。
巧克力	巧克力	qiao3ke4li4	qiǎokèlì	chocolate	我喜欢吃巧克力。
亲戚	親戚	qin1qi	qīnqi	a relative (i.e. family relation)	我亲戚很多。
轻	輕	qing1	qīng	light; easy; gentle; soft	这本书很轻。
轻松	輕松	qing1song1	qīngsōng	relaxed; gentle; easygoing	这个周末我们可以安排一个轻松的活动。
情况	情況	qing2kuang4	qíngkuàng	circumstance; state of affairs; situation	他的工作情况很好。
穷	窮	qiong2	qióng	poor; exhausted	我穷了，买不起那个包。
区别	區別	qu1bie2	qūbié	difference; distinguish	这两个单词有区别。
取	取	qu3	qǔ	to take; get; choose	我要取一本书。
全部	全部	quan2bu4	quánbù	whole; entire; complete	他把全部的时间都花在工作上了。
缺点	缺點	que1dian3	quēdiǎn	weak point; defect; fault; shortcoming	他是个很有才华的人，但也有一些缺点。
缺少	缺少	que1shao3	quēshǎo	to lack; be short of; be deficient in	这个项目缺少资金支持。
却	卻	que4	què	but; yet; however	他很聪明，却不喜欢读书。
确实	確實	que4shi2	quèshí	indeed; in truth; reliable	他确实是个勤奋的学生。
然而	然而	ran2'er2	rán'ér	however; yet; but	他很努力学习，然而考试成绩并不好。
热闹	熱鬧	ren4ao	rènao	bustling; lively; busy	这个地方很热闹。
任何	任何	ren4he2	rènhé	any; whatever; whichever	任何人都可以参加这个活动。
任务	任務	ren4wu	rènwu	a mission; an assignment; a task	老师给了我们一个重要的任务。
扔	扔	reng1	rēng	to throw; throw away	他扔了垃圾。
仍然	仍然	reng2ran2	réngrán	still; yet	他仍然在等你。
日记	日記	ri4ji4	rìjì	diary	我每天晚上写日记。
入口	入口	ru4kou3	rùkǒu	entrance	这个商店的入口在街的尽头。
散步	散步	san4 bu4	sàn bù	to go for a walk	我喜欢晚上散步。
森林	森林	sen1lin2	sēnlín	forest	森林里有很多野生动物。
沙发	沙發	sha1fa1	shāfā	sofa	我家客厅里有一张舒服的沙发。
伤心	傷心	shang1xin1	shāngxīn	sad; grieve; brokenhearted	他听到这个消息后非常伤心。
商量	商量	shang1liang	shāngliang	consult; talk over; discuss	我们需要商量一下这个问题。
稍微	稍微	shao1wei1	shāowēi	a little bit; slightly	他稍微迟到了一会儿。
勺子	勺子	shao2zi	sháozi	spoon; scoop; ladle	我需要一把勺子。
社会	社會	she4hui4	shèhuì	society	社会需要更多关爱和帮助。
申请	申請	shen1qing3	shēnqǐng	apply for; application	我申请了这个工作。
深	深	shen1	shēn	deep; profound; dark (of colors)	湖水很深。
甚至	甚至	shen4zhi4	shènzhì	even (to the point of); so much so that	他甚至不认识自己的邻居。
生活	生活	sheng1huo2	shēnghuó	life; livelihood; to live	我喜欢简单的生活。
生命	生命	sheng1ming4	shēngmìng	life	生命很宝贵。
生意	生意	sheng1yi	shēngyi	business; trade	我爸爸做生意。
省	省	sheng3	shěng	to save; economize; omit; province	我要省钱买车。
剩	剩	sheng4	shèng	have as remainder; be left over; surplus	他吃完了，剩下一点米饭。
失败	失敗	shi1bai4	shībài	be defeated; fail; lose	他昨天考试失败了。
失望	失望	shi1wang4	shīwàng	disappointed; lose hope	我对考试成绩感到失望。
师傅	師傅	shi1fu	shīfu	master; qualified worker; teacher	师傅教我修车。
十分	十分	shi2fen1	shífēn	very; fully; 100%	他十分高兴。
实际	實際	shi2ji4	shíjì	actual; reality; practice	他的实际能力比表面上看起来要强。
实在	實在	shi2zai4	shízài	honest; in reality; honestly; indeed; certainly	他实在是个好人。
使	使	shi3	shǐ	to use; to make; to cause; enable; envoy; messenger	这个工具可以使我们的工作更容易。
使用	使用	shi3yong4	shǐyòng	to use; employ; apply; administer; manipulate	我经常使用手机。
世纪	世紀	shi4ji4	shìjì	century	这个世纪发生了很多变化。
是否	是否	shi4fou3	shìfǒu	whether (or not); if	你知道是否明天会下雨吗？
适合	適合	shi4he2	shìhé	to suit; to fit	这件衣服很适合你。
适应	適應	shi4ying4	shìyìng	to suit; to fit; adapt	我需要时间适应新的环境。
收	收	shou1	shōu	receive; accept; collect; to harvest	我收到了你的礼物。
收入	收入	shou1ru4	shōurù	take in; income; revenue	他的收入越来越高。
收拾	收拾	shou1shi	shōushi	to tidy; put in order; to repair; to settle with; punish	我需要收拾我的房间。
首都	首都	shou3du1	shǒudū	capital (city)	北京是中国的首都。
首先	首先	shou3xian1	shǒuxiān	first (of all); in the first place; firstly	首先，我们需要准备好材料。
受不了	受不了	shou4 bu liao3	shòu bu liǎo	cannot endure; unbearable; can't stand	这个噪音受不了。
受到	受到	shou4dao4	shòudào	receive (influence, restriction, etc.); be subjected to	我受到了很大的影响。
售货员	售貨員	shou4huo4yuan2	shòuhuòyuán	salesclerk; shop assistant	售货员在商店里帮助顾客选购商品。
输	輸	shu1	shū	to transport; to lose (a game, etc.)	我们输了比赛。
熟悉	熟悉	shu2xi1	shúxī	familiar with; know well	我很熟悉这个地方。
数量	數量	shu4liang4	shùliàng	amount; quantity; number	这本书的数量很多。
数字	數字	shu4zi4	shùzì	number; numeral; figure; digit	这个数字很重要。
帅	帥	shuai4	shuài	handsome; graceful; commander-in-chief	他是一个很帅的年轻人。
顺便	順便	shun4bian4	shùnbiàn	conveniently; in passing; on the way	我顺便去超市买点水果。
顺利	順利	shun4li4	shùnlì	go smoothly; without a hitch; successful	我们顺利完成了任务。
顺序	順序	shun4xu4	shùnxù	sequence; order	请按照顺序填写表格里的信息。
说明	說明	shuo1ming2	shuōmíng	explain; explanation; illustrate; to show	请给我一份说明书。
硕士	碩士	shuo4shi4	shuòshì	Master's degree (M.A.)	我哥哥已经拿到硕士学位。
死	死	si3	sǐ	to die; dead; fixed; impassible; extremely	他的狗死了。
速度	速度	su4du4	sùdù	speed; rate; velocity	他的速度很快。
塑料袋	塑料袋	su4liao4dai4	sùliàodài	plastic bag	我买了一些塑料袋。
酸	酸	suan1	suān	sour; sore; ache	这个柠檬很酸。
随便	隨便	sui2bian4	suíbiàn	as one pleases; informal; random; casual	他喜欢随便吃东西。
随着	隨著	sui2zhe	suízhe	along with; in the wake of	随着时间的推移，他的中文水平越来越好。
孙子	孫子	sun1zi	sūnzi	grandson; son's son	我很喜欢和孙子一起玩。
所有	所有	suo3you3	suǒyǒu	all; to have; to possess	所有人都喜欢吃冰淇淋。
台	台	tai2	tái	platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters)	我站在舞台上表演。
抬	擡	tai2	tái	to lift; to raise (with both palms up); carry (together)	他们一起抬着箱子。
态度	態度	tai4du	tàidu	manner; bearing; attitude	他的态度很友好。
谈	談	tan2	tán	to talk; to chat; discuss	我们可以谈一下这个问题。
弹钢琴	彈鋼琴	tan2 gang1qin2	tán gāngqín	play the piano	我喜欢弹钢琴。
汤	湯	tang1	tāng	soup; broth	这家餐厅的汤很好喝。
糖	糖	tang2	táng	sugar; candy; sweets	我喜欢吃糖。
躺	躺	tang3	tǎng	recline; lie down (on back or side)	他喜欢躺在沙发上看电视。
趟	趟	tang4, tang1	tàng, tāng	(mw for trips times) | to wade	我去了两趟北京。
讨论	討論	tao3lun4	tǎolùn	to discuss; discussion; to talk over	我们需要讨论这个问题。
讨厌	討厭	tao3yan4	tǎoyàn	to hate; loathe; disgusting; troublesome	我讨厌吃辣的食物。
特点	特點	te4dian3	tèdiǎn	a characteristic; trait; feature	这座城市的特点是历史悠久。
提	提	ti2	tí	to carry; to lift; to raise (an issue)	他提了一个很重的箱子。
提供	提供	ti2gong1	tígōng	to supply; provide; furnish	学校提供免费午餐。
提前	提前	ti2qian2	tíqián	shift to an earlier date; bring forward; to advance	我们决定提前开会。
提醒	提醒	ti2xing3	tíxǐng	remind; call attention to; warn of	请提醒我明天要去开会。
填空	填空	tian2kong4	tiánkòng	fill in the blanks; fill a vacancy	请你填空，写出正确的答案。
条件	條件	tiao2jian4	tiáojiàn	condition; circumstances; prerequisite	这个工作的条件是有工作经验。
停	停	ting2	tíng	to stop; to halt; to park (a car)	我停了车。
挺	挺	ting3	tǐng	straighten up; stick out; rather (good); very	他挺高的。
通过	通過	tong1guo4	tōngguò	by means of; through (a method); pass through; via	我通过手机学习中文。
通知	通知	tong1zhi1	tōngzhī	notify; to inform; notice	请通知我明天的会议时间。
同情	同情	tong2qing2	tóngqíng	compassion; sympathy	他对困境中的人们都充满了同情心。
同时	同時	tong2shi2	tóngshí	at the same time; simultaneously	他在同时工作和学习。
推	推	tui1	tuī	to push; to scrape; to decline; postpone; elect	他推了一下眼镜。
推迟	推遲	tui1chi2	tuīchí	postpone; defer	会议因为天气原因被推迟了。
脱	脫	tuo1	tuō	to shed; take off; to escape	他脱掉外套进了屋子。
袜子	襪子	wa4zi	wàzi	socks; stockings	我买了一双袜子。
完全	完全	wan2quan2	wánquán	complete; whole; totally	他完全不知道发生了什么事情。
网球	網球	wang3qiu2	wǎngqiú	tennis; tennis ball	我喜欢打网球。
网站	網站	wang3zhan4	wǎngzhàn	website	我经常在这个网站上找资料。
往往	往往	wang3wang3	wǎngwǎng	often; frequently; more often than not	他往往在周末去图书馆学习。
危险	危險	wei1xian3	wēixiǎn	danger; dangerous; perilous	这条路很危险，我们不要走。
卫生间	衛生間	wei4sheng1jian1	wèishēngjiān	restroom; bathroom; water closet (WC)	我想去卫生间。
味道	味道	wei4dao	wèidao	flavor; taste	这道菜的味道很好。
温度	溫度	wen1du4	wēndù	temperature	昨天的温度很高。
文章	文章	wen2zhang1	wénzhāng	article; essay	这篇文章很有趣。
污染	汙染	wu1ran3	wūrǎn	pollution; contamination	这个城市的空气污染很严重。
无	無	wu2	wú	have not; without; not (Kangxi radical 71)	我无法去参加聚会。
无聊	無聊	wu2liao2	wúliáo	nonsense; bored; silly; stupid	他的言论太无聊了。
无论	無論	wu2lun4	wúlùn	no matter what; regardless of whether...	无论你做什么，我都支持你。
误会	誤會	wu4hui4	wùhuì	to misunderstand; to mistake	我误会了他的意思。
西红柿	西紅柿	xi1hong2shi4	xīhóngshì	tomato	我喜欢吃西红柿。
吸引	吸引	xi1yin3	xīyǐn	attract (interest, investment, etc.)	这个电影吸引了很多观众。
咸	鹹	xian2	xián	salty; salted; all	这道菜太咸了。
现金	現金	xian4jin1	xiànjīn	cash	我喜欢用现金买东西。
羡慕	羨慕	xian4mu4	xiànmù	to envy; admire	我羡慕她的漂亮衣服。
相反	相反	xiang1fan3	xiāngfǎn	opposite; contrary	他们的想法和我完全相反。
相同	相同	xiang1tong2	xiāngtóng	identical; same; alike	这两个房间的装饰风格相同。
香	香	xiang1	xiāng	fragrant; savory (Kangxi radical 186)	这道菜很香。
详细	詳細	xiang2xi4	xiángxì	detailed; in detail; minute	请你给我详细解释一下这个计划。
响	響	xiang3	xiǎng	make a sound; to ring; echo	他敲了门，门响了。
橡皮	橡皮	xiang4pi2	xiàngpí	rubber; an eraser	我找不到橡皮了。
消息	消息	xiao1xi	xiāoxi	news; information	我收到了一个好消息。
小吃	小吃	xiao3chi1	xiǎochī	snack; refreshments	我喜欢吃小吃。
小伙子	小夥子	xiao3huo3zi	xiǎohuǒzi	young man; lad; youngster	那个小伙子很有礼貌。
小说	小說	xiao3shuo1	xiǎoshuō	novel; fiction	我喜欢看小说。
笑话	笑話	xiao4hua	xiàohua	joke; laugh at	他经常讲笑话，让大家都很开心。
效果	效果	xiao4guo3	xiàoguǒ	effect; result	这种药的效果很好。
心情	心情	xin1qing2	xīnqíng	mood; state of mind	我今天心情很好。
辛苦	辛苦	xin1ku3	xīnkǔ	hard; exhausting; toilsome; laborious	他们辛苦地工作了一整天。
信封	信封	xin4feng1	xìnfēng	envelope	我收到了一封信封。
信息	信息	xin4xi1	xìnxī	information; news; message	我需要你的联系信息。
信心	信心	xin4xin1	xìnxīn	confidence; faith (in sb. or sth.)	我对考试有信心。
兴奋	興奮	xing1fen4	xīngfèn	excitement； be excited	我听到这个好消息感到很兴奋。
行	行	xing2	xíng	walk; be current; do; will do; okay	我去公园散步。
醒	醒	xing3	xǐng	wake up	他每天早上七点醒。
幸福	幸福	xing4fu2	xìngfú	happy; blessed; fortunate	他们一家人生活得非常幸福。
性别	性別	xing4bie2	xìngbié	gender; sex; sexual distinction	你的性别是男的还是女的？
性格	性格	xing4ge2	xìnggé	nature; personality; temperament	他的性格很开朗。
修理	修理	xiu1li3	xiūlǐ	to repair; perform maintenance; to overhaul	这家店修理手机。
许多	許多	xu3duo1	xǔduō	many; a lot; much	我们买了许多水果。
学期	學期	xue2qi1	xuéqī	semester; school term	这个学期有很多考试。
压力	壓力	ya1li4	yālì	pressure; stress	工作压力很大。
呀	呀	ya	ya	ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)	你看，那是一只小猫呀。
牙膏	牙膏	ya2gao1	yágāo	toothpaste	我需要买牙膏。
亚洲	亞洲	Ya4zhou1	Yàzhōu	Asia	亚洲是一个非常大的洲。
严格	嚴格	yang2e2	yángé	strict; stringent; tight	老师对学生要求很严格。
严重	嚴重	yan2zhong4	yánzhòng	grave; serious; critical	他的病情很严重。
研究	研究	yan2jiu1	yánjiū	to study; to research	我正在研究中文文化。
盐	鹽	yan2	yán	salt	这道菜需要加盐吗？
眼镜	眼鏡	yan3jing4	yǎnjìng	glasses; spectacles	我戴眼镜看书。
演出	演出	yan3chu1	yǎnchū	to act (in a play); to perform; to put on a show; performance	他们在剧院演出了一场精彩的表演。
演员	演員	yan3yuan2	yǎnyuán	actor or actress; performer	他是一位演员。
阳光	陽光	yang2guang1	yángguāng	sunshine; sunlight	阳光明媚，适合出去散步。
养成	養成	yang3cheng2	yǎngchéng	cultivate; acquire; to form	他养成了每天锻炼的习惯。
样子	樣子	yang4zi	yàngzi	manner; air; appearance; looks	他的样子看起来很有自信。
邀请	邀請	yao1qing3	yāoqǐng	to invite	他邀请我去看电影。
要是	要是	yao4shi	yàoshi	if; suppose; in case	要是明天下雨，我们就改天去公园吧。
钥匙	鑰匙	yao4shi	yàoshi	key	我找不到我的钥匙。
也许	也許	ye3xu3	yěxǔ	perhaps; probably; maybe	也许他会来参加聚会。
叶子	葉子	ye4zi	yèzi	leaves	树上的叶子很绿。
页	頁	ye4	yè	page; leaf (Kangxi radical 181)	这本书有100页。
一切	一切	yi2qie4	yíqiè	all; every; everything	他做事情都很认真，一切都很完美。
以	以	yi3	yǐ	to use; according to; so as to; for; by	我以中文交流。
以为	以爲	yi3wei2	yǐwéi	think (mistakenly); consider (that); believe	我以为他会来参加聚会。
艺术	藝術	yi4shu4	yìshù	art	他对艺术很感兴趣。
意见	意見	yi4jian4	yìjiàn	opinion; view; suggestion; complaint	我想知道你的意见。
因此	因此	yin1ci3	yīncǐ	therefore; thus; that is why; because of this	他很用功，因此考试考得很好。
引起	引起	yin3qi3	yǐnqǐ	give rise to; lead to; to cause; arouse	这个问题引起了很多讨论。
印象	印象	yin4xiang4	yìnxiàng	impression	这次旅行给我留下了很深的印象。
赢	贏	ying2	yíng	to win; to beat; to profit	我们的队赢了比赛。
应聘	應聘	ying4pin4	yìngpìn	accept a job offer; to apply for a job	我想应聘这个职位。
永远	永遠	yong3yuan3	yǒngyuǎn	forever; eternal; always	我们的友谊永远不会变。
勇敢	勇敢	yong3gan3	yǒnggǎn	brave; courageous	他是一个勇敢的消防员。
优点	優點	you1dian3	yōudiǎn	merit; good point; a strength; a benefit	这个产品的优点是价格便宜。
优秀	優秀	you1xiu4	yōuxiù	outstanding; excellent	他是一名优秀的运动员。
幽默	幽默	you1mo4	yōumò	humorous	他的幽默感让大家都笑了起来。
尤其	尤其	you2qi2	yóuqí	especially; particularly	她尤其喜欢吃甜食。
由	由	you2	yóu	follow; from; by; through	我们由北京去上海旅行。
由于	由于	you2yu2	yóuyú	due to; owing to; as a result of; thanks to	由于下雨，比赛被取消了。
邮局	郵局	you2ju2	yóujú	post office	我要去邮局寄包裹。
友好	友好	you3hao3	yǒuhǎo	friendly (relations); close friends	我们之间有一个友好的关系。
友谊	友誼	you3yi4	yǒuyì	friendship; companionship	我们之间的友谊很深厚。
有趣	有趣	you3qu4	yǒuqù	interesting; fascinating; amusing	这本书很有趣。
于是	于是	yu2shi4	yúshì	as a result; thus; therefore	我迟到了，于是老板批评了我。
愉快	愉快	yu2kuai4	yúkuài	happy; cheerful; delightful	他们在一起度过了一个愉快的周末。
与	與	yu3	yǔ	(formal) and; to give; together with; participate; final particle expressing doubt or surprise	我与朋友一起去看电影。
羽毛球	羽毛球	yu3mao2qiu2	yǔmáoqiú	badminton	我们周末常常打羽毛球。
语法	語法	yu3fa3	yǔfǎ	grammar	这本书的语法很容易理解。
语言	語言	yu3yan2	yǔyán	language	学习一门外国语言很有用。
预习	預習	yu4xi2	yùxí	(of students) prepare a lesson before class; preview	我每天晚上都会预习明天的课程。
原来	原來	yuan2lai2	yuánlái	original; former; as it turns out	原来你是我的朋友。
原谅	原諒	yuan2liang4	yuánliàng	to excuse; forgive; to pardon	请原谅我迟到了。
原因	原因	yuan2yin1	yuányīn	cause; reason	他迟到的原因是交通堵塞。
约会	約會	yue1hui4	yuēhuì	appointment; engagement; date	我们约会在这家咖啡店见面。
阅读	閱讀	yue4du2	yuèdú	read; reading	我喜欢阅读书籍。
云	雲	yun2	yún	cloud; Yunnan province | say; speak	今天天气云很多。
允许	允許	yun3xu3	yǔnxǔ	to permit; allow	老师允许我们带手机去学校吗？
杂志	雜志	za2zhi4	zázhì	magazine	我喜欢看杂志。
咱们	咱們	zan2men	zánmen	we (including the listener); us; our	咱们一起去看电影吧。
暂时	暫時	zan4shi2	zànshí	temporary; transient; for the moment	我只能暂时帮你一下。
脏	髒	zang1	zāng	filthy; dirty	他的房间很脏。
责任	責任	zer2en4	zérèn	responsibility; blame; duty	我愿意承担这份责任。
增加	增加	zeng1jia1	zēngjiā	to increase; to raise; add	他的工资增加了。
占线	占線	zhan4xian4	zhànxiàn	the (phone) line is busy	我打电话的时候，老板的电话总是占线。
招聘	招聘	zhao1pin4	zhāopìn	recruitment; take job applications for a job	我们公司正在招聘新员工。
照	照	zhao4	zhào	to shine; illuminate; according to	请照顾好自己。
真正	真正	zhen1zheng4	zhēnzhèng	genuine; real; true	他是一个真正的朋友。
整理	整理	zheng3li3	zhěnglǐ	put in order; arrange; straighten up; to tidy; to pack (luggage)	我需要整理我的房间。
正常	正常	zheng4chang2	zhèngcháng	normal; regular; ordinary	他的身体状况正常。
正好	正好	zheng4hao3	zhènghǎo	just (in time); just right; just enough; happen to; by chance	他们正好在图书馆见面。
正确	正確	zheng4que4	zhèngquè	correct; proper	这个答案是正确的。
正式	正式	zheng4shi4	zhèngshì	formal; official	这是一个正式的会议。
证明	證明	zheng4ming2	zhèngmíng	proof; testify; confirm; certificate	这份证明很重要。
之	之	zhi1	zhī	(literary equivalent to 的); (pronoun); of	这是我的之家。
支持	支持	zhi1chi2	zhīchí	sustain; hold out; | support; stand by (e.g. international support)	我全家都支持我参加比赛。
知识	知識	zhi1shi	zhīshi	knowledge; intellectual	他有很多知识。
直接	直接	zhi2jie1	zhíjiē	direct; immediate	他直接给了我一个答案。
值得	值得	zhi2de	zhíde	be worth; deserve	这本书很值得一读。
职业	職業	zhi2ye4	zhíyè	profession; occupation	我对我的职业很满意。
植物	植物	zhi2wu4	zhíwù	plant; botanical; vegetation	这个公园里有很多美丽的植物。
只好	只好	zhi3hao3	zhǐhǎo	have to; be forced to	这个周末太忙了，只好取消我们的计划。
只要	只要	zhi3yao4	zhǐyào	so long as; if only; provided that	只要你努力学习，就一定能取得成功。
指	指	zhi3	zhǐ	finger; to point (at, to, out); refer to	请用手指着地图指路。
至少	至少	zhi4shao3	zhìshǎo	at least; (to say the) least	他至少会说三种外语。
质量	質量	zhi4liang4	zhìliàng	quality; mass (physics)	这个产品的质量很好。
重	重	zhong4	zhòng	heavy; serious; important	这个问题很重要。
重点	重點	zhong4dian3	zhòngdiǎn	emphasis; main point	这篇文章的重点是什么？
重视	重視	zhong4shi4	zhòngshì	to value; take seriously	他们非常重视这个项目。
周围	周圍	zhou1wei2	zhōuwéi	surroundings; vicinity; environment	我喜欢周围的环境。
主意	主意	zhu3yi	zhǔyi	plan; idea; decision	我有一个好主意。
祝贺	祝賀	zhu4he4	zhùhè	congratulate	祝贺你毕业了！
著名	著名	zhu4ming2	zhùmíng	famous; well-known; celebration	她是一位著名的歌手。
专门	專門	zhuan1men2	zhuānmén	specialized	这家餐厅专门卖面条。
专业	專業	zhuan1ye4	zhuānyè	profession; specialized field of study; major	他的专业是计算机科学。
转	轉	zhuan3, zhuan4	zhuǎn, zhuàn	to turn; to change; pass on | revolve; rotate	我迷路了，可以转左吗？
赚	賺	zhuan4	zhuàn	earn; make a profit	我希望赚更多的钱。
准确	准確	zhun3que4	zhǔnquè	accurate; precise	这份报告很准确。
准时	准時	zhun3shi2	zhǔnshí	punctually; on time	他准时到达了会议现场。
仔细	仔細	zi3xi4	zǐxì	careful; attentive; cautious	请你仔细看这本书。
自然	自然	zi4ran2	zìrán	nature; natural	他喜欢在自然环境中散步。
自信	自信	zi4xin4	zìxìn	self-confidence	我对自己没有自信。
总结	總結	zong3jie2	zǒngjié	summarize; conclude	这篇文章总结了我们的研究结果。
租	租	zu1	zū	to rent	我想租一辆自行车。
最好	最好	zui4hao3	zuìhǎo	the best; had better ...; it would be best	他最好早点回家。
尊重	尊重	zun1zhong4	zūnzhòng	esteem; to respect; to value; to honor	我尊重你的意见。
左右	左右	zuo3you4	zuǒyòu	about; approximate; around | left and right	这个城市的人口大约有五百万左右。
作家	作家	zuo4jia1	zuòjiā	author; writer	他是一位作家。
作用	作用	zuo4yong4	zuòyòng	action; activity; effect	这种药有很强的作用。
作者	作者	zuo4zhe3	zuòzhě	author; writer	这本书的作者是谁？
座	座	zuo4	zuò	(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation	那座桥很漂亮。
座位	座位	zuo4wei4	zuòwèi	seat; place	这个座位已经有人坐了。
